summary_period,source_file,summary_level,process_stage,row_count,start_time,end_time,stage_total_carbon_kg_latest,plant_total_carbon_kg_latest,stage_share_of_plant_avg
latest_24h_hourly,hourly.csv,detail,01_原水取水段,24,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,588.410861888,597.383411888,0.9814589326242139
latest_24h_hourly,hourly.csv,detail,02_供水段,24,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,0.0,597.383411888,0.0
latest_24h_hourly,hourly.csv,detail,03_预处理,24,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,4.710570000000001,597.383411888,0.00807915578389923
latest_24h_hourly,hourly.csv,detail,04_混凝沉淀,24,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,3.3132000000000006,597.383411888,0.007099653034004033
latest_24h_hourly,hourly.csv,detail,05_过滤,24,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,0.0,597.383411888,0.001422338190940504
latest_24h_hourly,hourly.csv,detail,06_深度处理,24,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,0.9487800000000002,597.383411888,0.0019399203669421834
latest_24h_hourly,hourly.csv,detail,07_污泥处理,24,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,0.0,597.383411888,0.0
latest_24h_hourly,hourly.csv,total,TOTAL,168,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,0.0,597.383411888,0.14285714285714285
latest_7d_daily,daily.csv,detail,01_原水取水段,7,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,1193.5809716416002,1210.7864289749334,0.8956557721609316
latest_7d_daily,daily.csv,detail,02_供水段,7,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,0.0,1210.7864289749334,0.08847016349314137
latest_7d_daily,daily.csv,detail,03_预处理,7,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,7.62964,1210.7864289749334,0.006942147675346643
latest_7d_daily,daily.csv,detail,04_混凝沉淀,7,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,6.626400000000001,1210.7864289749334,0.005979627036741915
latest_7d_daily,daily.csv,detail,05_过滤,7,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,1.0448293333333332,1210.7864289749334,0.0012801896194205426
latest_7d_daily,daily.csv,detail,06_深度处理,7,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,1.9045880000000004,1210.7864289749334,0.0016721000144175858
latest_7d_daily,daily.csv,detail,07_污泥处理,7,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,0.0,1210.7864289749334,0.0
latest_7d_daily,daily.csv,total,TOTAL,49,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,0.0,1210.7864289749334,0.14285714285714282
latest_5w_weekly,weekly.csv,detail,01_原水取水段,5,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,1193.5809716416002,1210.7864289749334,0.9016580672317964
latest_5w_weekly,weekly.csv,detail,02_供水段,5,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,0.0,1210.7864289749334,0.08397222212792546
latest_5w_weekly,weekly.csv,detail,03_预处理,5,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,7.62964,1210.7864289749334,0.00565636926683874
latest_5w_weekly,weekly.csv,detail,04_混凝沉淀,5,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,6.626400000000001,1210.7864289749334,0.00579981148914338
latest_5w_weekly,weekly.csv,detail,05_过滤,5,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,1.0448293333333332,1210.7864289749334,0.00116016477697124
latest_5w_weekly,weekly.csv,detail,06_深度处理,5,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,1.9045880000000004,1210.7864289749334,0.0016169010780936002
latest_5w_weekly,weekly.csv,detail,07_污泥处理,5,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,0.0,1210.7864289749334,0.00013646402923092
latest_5w_weekly,weekly.csv,total,TOTAL,35,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,0.0,1210.7864289749334,0.14285714285714282
latest_12m_monthly,monthly.csv,detail,01_原水取水段,12,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,116945.79795627097,137916.04252843573,0.8416091483949065
latest_12m_monthly,monthly.csv,detail,02_供水段,12,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,18862.9316779981,137916.04252843573,0.07435680448460068
latest_12m_monthly,monthly.csv,detail,03_预处理,12,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,921.8390575,137916.04252843573,0.004405885734059517
latest_12m_monthly,monthly.csv,detail,04_混凝沉淀,12,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,799.2266700000001,137916.04252843573,0.005337184364205434
latest_12m_monthly,monthly.csv,detail,05_过滤,12,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,169.34551666666664,137916.04252843573,0.0011061901875272834
latest_12m_monthly,monthly.csv,detail,06_深度处理,12,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,216.90165000000005,137916.04252843573,0.06242991018653405
latest_12m_monthly,monthly.csv,detail,07_污泥处理,12,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,0.0,137916.04252843573,0.0107548766481662
latest_12m_monthly,monthly.csv,total,TOTAL,84,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,169.34551666666664,137916.04252843573,0.1428571428571428
